node_index,norad_cat_id,object_id,object_name,source_file,epoch
68,43925,2019-002D,IRIDIUM 173,Iridium Next.json,2026-03-26T18:57:42.959520
69,43926,2019-002E,IRIDIUM 169,Iridium Next.json,2026-03-26T23:13:35.064480
70,43927,2019-002F,IRIDIUM 172,Iridium Next.json,2026-03-26T22:09:30.985920
71,43928,2019-002G,IRIDIUM 175,Iridium Next.json,2026-03-26T08:58:50.672640
72,43929,2019-002H,IRIDIUM 171,Iridium Next.json,2026-03-26T21:42:06.871680
73,43930,2019-002J,IRIDIUM 170,Iridium Next.json,2026-03-26T22:10:55.734816
74,43931,2019-002K,IRIDIUM 167,Iridium Next.json,2026-03-26T21:32:58.999776
75,44057,2019-010A,ONEWEB-0012,OneWeb.json,2026-03-26T22:45:47.992032
76,44058,2019-010B,ONEWEB-0010,OneWeb.json,2026-03-26T23:22:16.881600
77,44059,2019-010C,ONEWEB-0008,OneWeb.json,2026-03-26T22:09:19.335744
78,44060,2019-010D,ONEWEB-0007,OneWeb.json,2026-03-26T21:25:46.413120
79,44061,2019-010E,ONEWEB-0006,OneWeb.json,2026-03-26T23:21:00.462528
80,44062,2019-010F,ONEWEB-0011,OneWeb.json,2026-03-26T22:35:21.615360
81,44714,2019-074B,STARLINK-1008,Starlink.json,2026-03-26T11:25:48.773280
82,44718,2019-074F,STARLINK-1012,Starlink.json,2026-03-26T08:02:03.090336
83,44723,2019-074L,STARLINK-1017,Starlink.json,2026-03-26T07:43:28.409376
84,44724,2019-074M,STARLINK-1019,Starlink.json,2026-03-27T00:00:02.000160
85,44725,2019-074N,STARLINK-1020,Starlink.json,2026-03-26T12:25:41.256768
86,44736,2019-074Z,STARLINK-1031,Starlink.json,2026-03-26T22:13:54.961248
87,44741,2019-074AE,STARLINK-1036,Starlink.json,2026-03-26T08:38:15.586368
88,44744,2019-074AH,STARLINK-1039,Starlink.json,2026-03-26T13:15:11.270592
89,44747,2019-074AL,STARLINK-1042,Starlink.json,2026-03-26T02:13:53.650848
90,44748,2019-074AM,STARLINK-1043,Starlink.json,2026-03-26T12:07:34.597056
91,44751,2019-074AQ,STARLINK-1046,Starlink.json,2026-03-26T11:58:49.507104
92,44752,2019-074AR,STARLINK-1047,Starlink.json,2026-03-26T23:18:29.595168
93,44753,2019-074AS,STARLINK-1048,Starlink.json,2026-03-26T10:12:16.278624
94,44758,2019-074AX,STARLINK-1053,Starlink.json,2026-03-26T16:26:41.329248
95,44768,2019-074BH,STARLINK-1063,Starlink.json,2026-03-26T22:10:28.046208
96,44771,2019-074BL,STARLINK-1067,Starlink.json,2026-03-26T08:44:14.076384
97,44772,2019-074BM,STARLINK-1068,Starlink.json,2026-03-26T22:15:32.020416
98,44927,2020-001P,STARLINK-1114,Starlink.json,2026-03-26T22:33:08.560224
99,44930,2020-001S,STARLINK-1123,Starlink.json,2026-03-25T18:48:57.663936
100,44941,2020-001AD,STARLINK-1094,Starlink.json,2026-03-26T11:14:16.363680
101,44949,2020-001AM,STARLINK-1122,Starlink.json,2026-03-26T16:35:59.681472
102,44961,2020-001AZ,STARLINK-1080,Starlink.json,2026-03-26T07:56:32.625888
103,44968,2020-001BG,STARLINK-1090,Starlink.json,2026-03-26T19:06:04.940064
104,45044,2020-006A,STARLINK-1132,Starlink.json,2026-03-26T14:43:25.717440
