metric,regular,enhanced
global_efficiency_full,0.09760562769808517,0.09760562769808517
avg_path_length_full,inf,inf
modularity_full,0.9022723827569561,0.9022723827569561
lcc_fraction_full,0.9753333333333334,0.9753333333333334
compression_ratio,9.23076923076923,9.23076923076923
